 28 0.26 29,Outcome,%ROA,%ROE,%NIG,D/E,P/E,,,,,Result 1 (39),Result 2 (94),Result 3 (149),Result 4 (204),Result 5 (241),Result 6 (310)
ASML,Gain,12,22,28,0.26,29,,,,,Correct,Correct,Correct,Correct,Correct,Correct
ASUR,Gain,-5,-11,-33,1.08,0,,,,,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
ASX,Gain,5,13,4,0.9,14,,,,,Correct,Correct,Correct,Correct,Correct,Correct
ASYS,Gain,4,7,-44,0.06,6,,,,,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
ATEN,N/L,-12,-27,-154,X,0,,,,,Incorrect,Correct,Correct,Correct,Correct,Correct
ATOM,N/L,-67,-73,0,X,0,,,,,Incorrect,Correct,Correct,Correct,Correct,Correct
AUDC,Gain,8,14,225,0.07,33,,,,,Correct,Correct,Correct,Correct,Correct,Correct
AVGO,Gain,25,47,624,0.66,10,,,,,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect
AVLR,Gain,-23,-67,17,X,0,,,,,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect
AVNW,N/L,1,4,300,0.16,447,,,,,Incorrect,Incorrect,Correct,Correct,Incorrect,Correct
AVYA,N/L,43,159,1893,1.52,29,,,,,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect
AWRE,N/L,2,2,0,X,67,,,,,Incorrect,Correct,Correct,Correct,Correct,Correct
AXTI,N/L,5,8,0,X,20,,,,,Incorrect,Correct,Correct,Correct,Correct,Incorrect
AYX,Gain,5,9,-243,0.57,0,,,,,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect
AZPN,Gain,34,72,64,0.41,42,,,,,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct
KLIC,Gain,5,6,-53,0.02,30,,,,,,,,,Correct,Correct
KN,Gain,4,5,0,0.13,17,,,,,,,,,Incorrect,Incorrect
KOPN,N/L,-57,-73,-40,X,0,,,,,,,,,Correct,Correct
KOSS,N/L,-15,-24,-200,X,0,,,,,,,,,Correct,Correct
KTCC,N/L,-1,-2,-86,0.3,28,,,,,,,,,Correct,Correct
KVHI,N/L,-6,-11,27,0.29,0,,,,,,,,,Correct,Correct
LASR,N/L,6,6,1000,0,X,,,,,,,,,Correct,Correct
LDOS,Gain,7,18,59,0.94,20,,,,,,,,,Correct,Correct
LEDS,N/L,-21,-60,25,0.47,0,,,,,,,,,Correct,Correct
LFUS,N/L,6,11,38,0.47,40,,,,,,,,,Incorrect,Incorrect
LGL,Gain,5,5,14,X,50,,,,,,,,,Correct,Correct
LITE,Gain,16,27,-334,0.36,23,,,,,,,,,Correct,Correct
LLNW,Gain,5,6,225,X,49,,,,,,,,,Correct,Correct
LOGI,Gain,12,20,1,X,30,,,,,,,,,Correct,Correct
LOGM,N/L,2,3,22,0.07,43,,,,,,,,,Incorrect,Incorrect
LPL,N/L,-1,-1,-112,0.58,14,,,,,,,,,Correct,Correct
LPSN,Gain,-9,-15,-38,X,0,,,,,,,,,Incorrect,Incorrect
LPTH,N/L,2,3,-88,0.21,16,,,,,,,,,Correct,Correct
LRCX,Gain,19,36,40,0.37,13,,,,,,,,,Incorrect,Incorrect
