Ticker,Outcome,%ROA,%ROE,%NIG,D/E,P/E
AAPL,Gain,16,57,23,1.06,16
AAOI,N/L,-0.45,-0.65,-100,0.26,19
ACIA,Gain,1,1,-87,X,95
ACIW,Gain,3,7,1280,0.64,693
ACLS,Gain,8,11,-64,0.117,7
ACMR,Gain,6,13,700,0.18,29
ACN,Gain,17,39,17,0.002,26
ADBE,Gain,14,28,53,0.44,54
ADI,Gain,7,13,87,0.56,30
ADSK,Gain,-2,38,-86,-9.8,0
ADTN,N/L,-3,-4,-180,0.06,23
AEHR,N/L,2,3,116,0.31,33
AGMH,N/L,18,54,-300,0.16,X
AGYS,Gain,-5,-8,33,0.002,0
AIRG,N/L,-5,-6,-400,X,0
AKAM,N/L,5,9,34,0.49,57
AKTS,Gain,-74,-157,-120,0.82,0
ALLT,Gain,-5,-8,44,X,0
ALOT,Gain,5,8,-25,0.28,31
ALRM,N/L,5,8,-24,0.24,108
ALTR,Gain,3,5,115,0.1,690
ALYA,N/L,-38,-55,69,0.01,0
AMAT,Gain,17,44,-13,0.78,15
AMBA,Gain,-7,-7,-67,X,88
AMD,Gain,7,27,-1121,0.99,62
AMKR,Gain,3,7,-51,0.72,10
AMOT,N/L,6,16,100,1.2,36
AMSWA,Gain,7,11,-20,X,33
ANET,N/L,11,15,-22,0.02,37
ANSS,Gain,13,16,62,X,44
ANY,N/L,-112,226,0,-0.1,0
APPF,Gain,11,22,100,0.54,120
APPN,Gain,-21,-66,-58,X,0
APPS,Gain,-23,-71,-121,0.36,0
ARW,N/L,4,13,78,0.65,13
AOSL,N/L,0.74,1,0,0.22,35
APH,N/L,12,30,85,0.87,34
AMRH,Gain,-57,-157,-72,0.48,0
AEY,Gain,-13,-17,-700,0.05,0
BAND,Gain,12,16,260,X,55
BB,N/L,2,4,133,0.25,5
BCOV,Gain,-11,-20,30,X,0
BDR,N/L,-9,-19,-100,0.81,0
BHE,Gain,1.2,2,172,0.14,10
BKI,Gain,5,9,-35,0.75,34
BL,Gain,-6,-9,12,0.01,0
BLIN,N/L,-66,-163,-300,0.81,0
BLKB,N/L,3,12,-39,1.03,70
BNFT,N/L,-17,515,-6,-23,0
BNSO,N/L,0,0,-300,0.16,X
BOSC,N/L,5,7,0,0.2,9
BOX,N/L,-27,-1035,-2,5.73,0
BOXL,N/L,-34,-90,0,0.37,0
BR,Gain,13,39,31,0.96,31
BRKS,Gain,6,9,86,0.27,18
BRQS,N/L,-86,307,-260,-1.04,100
BSQR,N/L,-43,-75,-56,X,0
BVSN,Gain,-181,-500,30,X,0
CACI,Gain,7,14,84,0.5,14
CAJ,N/L,5,9,7,0.13,16
CALX,N/L,-6,-13,77,0.2,0
CAMP,N/L,4,8,312,0.78,108
CAMT,Gain,13,19,36,X,15
CASA,N/L,15,98,-18,3.94,19
CCC,Gain,-7,-23,-8,1.89,X
CCMP,Gain,14,17,26,X,28
CCRC,N/L,23,31,77,0.07,0
CDAY,Gain,-1,-2,-1936,0.41,X
CDK,N/L,10,-90,29,-7.54,22
CDNS,Gain,14,27,69,0.35,49
CDW,Gain,9,66,23,3.29,19
CEVA,N/L,0,0,-94,X,451
CGNX,Gain,17,19,24,X,50
CHKP,N/L,14,22,2,X,21
CIEN,N/L,-9,-18,-127,0.35,4
CLDR,N/L,-49,-86,-134,X,0
CLFD,N/L,6,6,0,X,45
CLGX,Gain,3,12,-20,1.77,24
CLRO,N/L,-28,-32,-21,X,0
CLS,N/L,3,7,-6,0.57,20
CMCM,N/L,14,21,-18,X,7
CMTL,Gain,4,6,88,0.33,23
CNDT,N/L,-6,-13,-330,0.47,15
CNXN,Gain,9,12,18,X,13
COHR,Gain,11,19,19,0.32,16
COHU,N/L,-3,-6,-197,0.65,16
COMM,N/L,2,8,-28,2.27,30
COUP,Gain,-8,-18,16,0.68,0
CPAH,N/L,-24,-39,-50,X,0
CPSH,N/L,-44,-64,-100,X,0
CREE,Gain,-1,-1,185,0.14,0
CREX,N/L,-28,-63,-114,0.33,X
CRM,Gain,2,3,11,0.17,281
CRNT,N/L,8,14,44,X,14
CRUS,Gain,11,14,-40,X,22
CSCO,N/L,0,0,-99,0.59,180
CSGS,Gain,6,18,8,0.99,22
CSIQ,Gain,5,19,137,1.7,5
CSOD,Gain,-4,-52,44,5.13,0
CSPI,Gain,-4,-6,600,X,54
CTEK,N/L,-7,-19,200,1.1,6
CTG,Gain,-2,-4,-400,0.05,105
CTK,N/L,9,12,140,X,0
CTS,N/L,8,12,236,0.13,84
CTSH,N/L,13,18,39,0.06,28
CTXS,N/L,11,104,-2878,3.44,121
CVLT,N/L,-8,-15,-6300,X,211
CYBE,N/L,4,5,200,X,83
CYBR,Gain,7,10,193,X,100
CYRN,N/L,-32,-61,-19,0.31,0
DAIO,N/L,5,7,-60,X,18
DAKT,N/L,2,3,-40,0.08,129
DAVA,Gain,13,27,24,0.28,X
DBD,Gain,-12,430,-119,-18,0
DBX,N/L,-27,-72,334,0.24,0
DCAR,N/L,-52,-96,-150,X,0
DDD,N/L,-5,-8,30,0.05,0
DELL,N/L,-2,-17,144,2.96,0
DGII,Gain,0,0,-77,X,224
DIOD,Gain,7,11,5300,0.22,56
DMRC,N/L,-53,-57,-27,X,0
DOCU,Gain,-8,15,-54,X,X
DOMO,N/L,-81,17,31,-1.6,X
DOX,Gain,7,10,-19,X,24
DQ,Gain,7,12,-59,0.38,5
DSGX,Gain,4,5,13,0.07,82
DSPG,Gain,-1,-1,33,X,0
DSWL,N/L,6,8,500,X,0
DTSS,N/L,-116,-135,-100,0.02,X
DXC,N/L,5,11,1523,0.57,13
DZSI,N/L,1,3,200,0.58,52
EB,N/L,-8,-15,-64,0.24,X
EBIX,N/L,6,17,-8,1.32,21
ECOM,N/L,-6,-8,53,0.02,0
EEFT,Gain,7,19,48,0.51,30
EGAN,N/L,-5,23,33,-1.06,24
EGHT,N/L,-28,-48,-1980,X,0
